time,vehicle,category,severity,message
15:06:29,Drone 1,STATUS,INFO,"PING 10 ms · ICMP"
15:06:29,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.4 bat=99% sat=14"
15:06:31,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.4 bat=99% sat=14"
15:06:32,System,COMMAND,INFO,"SERVO B CH8 — สั่ง (PWM 1950) · 1 ลำ [RC7=1050 RC8=900 · SV7=0 SV8=900]"
15:06:32,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:06:32,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.4 bat=99% sat=14"
15:06:34,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.5 bat=99% sat=14"
15:06:34,Drone 1,STATUS,INFO,"PING 109 ms · ICMP"
15:06:35,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=14"
15:06:37,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.8 bat=99% sat=14"
15:06:38,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-1.0 bat=99% sat=14"
15:06:39,System,COMMAND,INFO,"SERVO B CH8 — ยกเลิก (คืนช่องให้รีโมท) · 1 ลำ [RC7=1050 RC8=900 · SV7=0 SV8=900]"
15:06:39,Drone 1,STATUS,INFO,"PING 35 ms · ICMP"
15:06:39,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:06:40,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-1.0 bat=99% sat=14"
15:06:40,System,COMMAND,SUCCESS,"SERVO B ปิดแล้ว · คืนช่องให้รีโมท (ห้องว่าง)"
15:06:41,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-1.0 bat=99% sat=14"
15:06:43,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.9 bat=99% sat=14"
15:06:44,Drone 1,STATUS,INFO,"PING 71 ms · ICMP"
15:06:44,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.8 bat=99% sat=14"
15:06:46,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=13"
15:06:47,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=13"
15:06:49,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=13"
15:06:49,Drone 1,STATUS,INFO,"PING 17 ms · ICMP"
15:06:50,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.5 bat=99% sat=12"
15:06:52,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.3 bat=99% sat=13"
15:06:53,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.2 bat=99% sat=14"
15:06:54,Drone 1,STATUS,INFO,"PING 59 ms · ICMP"
15:06:55,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.2 bat=99% sat=13"
15:06:55,System,COMMAND,INFO,"SERVO B CH8 — สั่ง (PWM 1950) · 1 ลำ [RC7=1050 RC8=900 · SV7=0 SV8=900]"
15:06:55,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:06:56,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.2 bat=99% sat=12"
15:06:58,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.1 bat=99% sat=12"
15:06:59,Drone 1,STATUS,INFO,"PING 60 ms · ICMP"
15:06:59,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.1 bat=99% sat=11"
15:07:01,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.0 bat=99% sat=11"
15:07:02,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.0 bat=99% sat=12"
15:07:04,Drone 1,STATUS,INFO,"PING 73 ms · ICMP"
15:07:04,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=0.0 bat=99% sat=12"
15:07:04,System,COMMAND,INFO,"SERVO B CH8 — ยกเลิก (คืนช่องให้รีโมท) · 1 ลำ [RC7=1050 RC8=900 · SV7=0 SV8=900]"
15:07:04,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:07:05,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.1 bat=99% sat=11"
15:07:06,System,COMMAND,SUCCESS,"SERVO B ปิดแล้ว · คืนช่องให้รีโมท (ห้องว่าง)"
15:07:07,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.2 bat=99% sat=11"
15:07:08,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.3 bat=99% sat=11"
15:07:09,Drone 1,STATUS,INFO,"PING 3 ms · ICMP"
15:07:10,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.3 bat=99% sat=12"
15:07:11,System,COMMAND,INFO,"SERVO B CH8 — สั่ง (PWM 1950) · 1 ลำ [RC7=1050 RC8=900 · SV7=0 SV8=900]"
15:07:11,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:07:11,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.4 bat=99% sat=12"
15:07:13,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.3 bat=99% sat=12"
15:07:14,Drone 1,STATUS,INFO,"PING 98 ms · ICMP"
15:07:14,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.3 bat=99% sat=11"
15:07:16,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.3 bat=99% sat=11"
15:07:16,System,COMMAND,INFO,"SERVO B CH8 — ยกเลิก (คืนช่องให้รีโมท) · 1 ลำ [RC7=1050 RC8=1950 · SV7=0 SV8=1950]"
15:07:16,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:07:17,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.3 bat=99% sat=13"
15:07:18,System,COMMAND,SUCCESS,"SERVO B ปิดแล้ว · คืนช่องให้รีโมท (ห้องว่าง)"
15:07:19,Drone 1,STATUS,INFO,"PING 14 ms · ICMP"
15:07:19,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.3 bat=99% sat=13"
15:07:20,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.4 bat=99% sat=13"
15:07:22,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.4 bat=99% sat=13"
15:07:23,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.4 bat=99% sat=13"
15:07:24,Drone 1,STATUS,INFO,"PING 66 ms · ICMP"
15:07:24,System,COMMAND,INFO,"SERVO B CH8 — สั่ง (PWM 1950) · 1 ลำ [RC7=1050 RC8=900 · SV7=0 SV8=900]"
15:07:24,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:07:25,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.4 bat=99% sat=14"
15:07:26,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=14"
15:07:28,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=14"
15:07:29,Drone 1,STATUS,INFO,"PING 56 ms · ICMP"
15:07:29,System,COMMAND,INFO,"SERVO B CH8 — ยกเลิก (คืนช่องให้รีโมท) · 1 ลำ [RC7=1050 RC8=1950 · SV7=0 SV8=1950]"
15:07:29,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:07:29,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.8 bat=99% sat=13"
